customer_id,customer_name,customer_type,contact_person,phone,email,address,city,state,postal_code,credit_rating,created_at
CUST00001,Mary Morgan,Individual,Steven Erickson,865.383.7204x2214,tsmith@example.com,"223 Alexandra Fork, Frankland, NM 90534",Boltonfort,Idaho,64018,1,2025-08-28 16:57:14
CUST00002,Gordon LLC,Corporate,Carol Orozco,601.998.7533x93386,jasonshepard@example.com,"PSC 0728, Box 1233, APO AA 27046",South Julia,Ohio,54779,6,2025-08-28 16:57:14
CUST00003,Brown-Knight,Corporate,Cameron Baker,+1-623-670-8617x06647,howardchristy@example.com,"63815 Collins Walks Apt. 253, Ericport, AR 36417",Lake Robertchester,Nebraska,16079,10,2025-08-28 16:57:14
CUST00004,Larry Benson,Individual,Katie Brown,421.272.0714x26087,perryblake@example.org,"968 Allen Brook, Hillside, SD 61128",West Feliciatown,Washington,56882,3,2025-08-28 16:57:14
CUST00005,Richards LLC,Corporate,Randall Liu,443-674-3140x4081,ksmith@example.org,"9461 Gerald Path, Perrychester, MN 76760",Jacksonside,Oklahoma,30502,7,2025-08-28 16:57:14
CUST00006,Marcus Sullivan,Individual,Margaret Brown,202.978.3813,dalebrown@example.org,"8602 Kathleen Mill Apt. 234, Cookton, WA 39592",Mitchellland,Alabama,78826,9,2025-08-28 16:57:14
CUST00007,Bowman-Harris,Corporate,David Spencer,964.330.8725x36494,greenechad@example.com,"6979 Yates Road Apt. 313, South Travisstad, OR 78119",North Carriemouth,Michigan,03928,2,2025-08-28 16:57:14
CUST00008,"Mann, Garcia and Freeman",Corporate,Melissa Bell,+1-823-748-7685x026,vanessa86@example.com,"20609 Dawn Glens Suite 582, Lake Anthonyshire, AS 07065",Katherineport,New York,23247,5,2025-08-28 16:57:14
CUST00009,Harris-Smith,Corporate,Kristina Howard,+1-860-735-1983x44797,kwolfe@example.org,"3755 Patterson Knoll, New Willie, DE 48969",Petersonfurt,Ohio,42649,7,2025-08-28 16:57:14
CUST00010,Garner-Prince,Corporate,Kristen Nguyen,283-725-6328x145,weaverpenny@example.net,"77242 Lynch Circle, Zacharyland, MT 96463",South Derrickmouth,Illinois,70297,10,2025-08-28 16:57:14
CUST00011,"Mcdonald, Hensley and Faulkner",Corporate,Kirk Brooks,617-861-8646,fchan@example.net,"5507 Allen Lodge, South Laurachester, CO 47920",Hicksburgh,Alabama,13652,3,2025-08-28 16:57:14
CUST00012,Chen Ltd,Corporate,Brandon Miller,250-762-7648x0343,davislindsey@example.net,"Unit 2598 Box 3293, DPO AP 11552",Lake Christopherberg,Utah,72186,3,2025-08-28 16:57:14
CUST00013,Simon Inc,Corporate,Stacy Clark,433.594.2923x85803,nanderson@example.net,"601 Valdez Port Apt. 747, West Melissamouth, CO 87691",South Carrie,Florida,08769,8,2025-08-28 16:57:14
CUST00014,"Young, Lopez and Rowe",Government,Nicholas Hall,(602)286-8489x81714,patrickschultz@example.net,"7320 Amanda Mills, South Normaville, KS 72943",Lauraville,Oklahoma,49962,5,2025-08-28 16:57:14
