rental_id,equipment_id,customer_id,site_id,rental_start_date,rental_end_date_planned,rental_end_date_actual,rental_rate_per_day,total_rental_cost,security_deposit,rental_status,delivery_address,pickup_address,rental_duration_planned,rental_duration_actual,overdue_days,late_fees_charged,damage_charges,created_at,updated_at
RENT000001,CAT00056,CUST00032,SITE00017,2024-07-30,2024-09-28,2024-09-28,905.06,54303.6,2715.18,Returned,"Unit 7124 Box 2916, DPO AP 92838","Unit 7124 Box 2916, DPO AP 92838",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000002,CAT00175,CUST00025,SITE00017,2024-03-04,2024-04-03,2024-04-04,1111.33,34451.23,3333.99,Returned,"Unit 7124 Box 2916, DPO AP 92838","Unit 7124 Box 2916, DPO AP 92838",30,31,1,555.66,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000003,CAT00120,CUST00048,SITE00024,2025-05-20,2025-05-27,2025-05-27,721.66,5051.62,2164.98,Returned,"376 Francis Ways, Lisafurt, VT 48382","376 Francis Ways, Lisafurt, VT 48382",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000004,CAT00092,CUST00014,SITE00014,2024-08-24,2024-09-23,2024-09-23,1164.44,34933.2,3493.32,Returned,"PSC 7438, Box 3057, APO AP 14687","PSC 7438, Box 3057, APO AP 14687",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000005,CAT00072,CUST00038,SITE00002,2023-09-16,2023-10-16,2023-10-19,780.57,25758.81,2341.71,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",30,33,3,1170.86,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000006,CAT00015,CUST00001,SITE00002,2024-11-06,2024-11-13,2024-11-13,416.95,2918.65,1250.85,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000007,CAT00082,CUST00043,SITE00001,2024-05-19,2024-08-17,2024-08-17,1193.89,107450.1,3581.67,Returned,"1477 Mueller Glens Suite 711, Paulmouth, PW 37441","1477 Mueller Glens Suite 711, Paulmouth, PW 37441",90,90,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000008,CAT00200,CUST00043,SITE00005,2024-11-23,2024-12-07,2024-12-07,543.52,7609.28,1630.56,Returned,"726 James Road Suite 896, Scottbury, CA 06638","726 James Road Suite 896, Scottbury, CA 06638",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000009,CAT00146,CUST00043,SITE00021,2024-02-26,2024-03-11,2024-03-11,1190.63,16668.82,3571.89,Returned,"918 Morgan Highway, New Christina, IL 96449","918 Morgan Highway, New Christina, IL 96449",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000010,CAT00118,CUST00002,SITE00007,2025-07-16,2025-07-30,2025-07-30,554.4,7761.6,1663.2,Returned,"42668 Castro Views, Timothyhaven, MN 14375","42668 Castro Views, Timothyhaven, MN 14375",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000011,CAT00141,CUST00048,SITE00011,2024-02-19,2024-04-19,2024-04-19,890.93,53455.8,2672.79,Returned,"14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960","14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960",60,60,0,0.0,45.22,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000012,CAT00062,CUST00011,SITE00008,2024-05-12,2024-05-19,2024-05-19,311.01,2177.07,933.03,Returned,"829 Johnson Courts, West Zachary, MA 60854","829 Johnson Courts, West Zachary, MA 60854",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000013,CAT00051,CUST00016,SITE00028,2023-11-03,2023-11-10,2023-11-10,903.2,6322.4,2709.6,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000014,CAT00002,CUST00003,SITE00005,2024-07-30,2024-09-28,2024-09-28,1132.87,67972.2,3398.61,Returned,"726 James Road Suite 896, Scottbury, CA 06638","726 James Road Suite 896, Scottbury, CA 06638",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000015,CAT00161,CUST00050,SITE00010,2025-02-17,2025-04-18,2025-04-18,742.59,44555.4,2227.77,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000016,CAT00092,CUST00004,SITE00011,2025-07-13,2025-07-27,2025-07-27,847.23,11861.22,2541.69,Returned,"14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960","14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000017,CAT00023,CUST00032,SITE00010,2024-11-14,2024-11-28,2024-11-28,891.69,12483.66,2675.07,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000018,CAT00154,CUST00036,SITE00028,2025-06-26,2025-07-03,2025-07-17,1054.08,22135.68,3162.24,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",7,21,14,7378.56,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000019,CAT00146,CUST00029,SITE00013,2025-04-14,2025-04-21,2025-04-21,730.12,5110.84,2190.36,Returned,"01864 Bryan Court Apt. 298, Lake Danny, ND 74003","01864 Bryan Court Apt. 298, Lake Danny, ND 74003",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000020,CAT00023,CUST00018,SITE00018,2024-02-20,2024-05-20,2024-05-20,1067.74,96096.6,3203.22,Returned,"9382 Johnson Run, Mcdonaldport, DE 83136","9382 Johnson Run, Mcdonaldport, DE 83136",90,90,0,0.0,919.78,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000021,CAT00025,CUST00031,SITE00025,2023-10-24,2023-11-23,2023-11-28,714.73,25015.55,2144.19,Returned,"153 Randy Ridge, Port Brandi, WV 18648","153 Randy Ridge, Port Brandi, WV 18648",30,35,5,1786.83,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000022,CAT00108,CUST00049,SITE00008,2024-07-11,2024-07-25,2024-07-25,716.04,10024.56,2148.12,Returned,"829 Johnson Courts, West Zachary, MA 60854","829 Johnson Courts, West Zachary, MA 60854",14,14,0,0.0,251.68,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000023,CAT00052,CUST00030,SITE00022,2024-11-05,2024-11-12,2024-11-12,439.94,3079.58,1319.82,Returned,"07889 Bell Port Suite 876, Valenciaside, WA 81215","07889 Bell Port Suite 876, Valenciaside, WA 81215",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000024,CAT00014,CUST00036,SITE00029,2024-03-21,2024-03-28,2024-03-28,1098.56,7689.92,3295.68,Returned,"4740 Glass Courts, West Wendybury, VA 96836","4740 Glass Courts, West Wendybury, VA 96836",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
